,family,#,1node_1p_48t_gm_speedup,2node_1p_48t_gm_speedup,4node_1p_48t_gm_speedup,8node_1p_48t_gm_speedup,16node_1p_48t_gm_speedup,gm_speedup
2,knights-problem,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,hamiltonian-cycle,1,-1.0,-1.0,7.99,8.607,9.199,-1.0
13,clique-width,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,sgen,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,binary-pigeon-hole,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,relativized-pigeon-hole,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,cril-misc,2,-1.0,2.353,2.95,2.595,2.822,-1.0
23,hgen,1,-1.0,-1.0,59.623,130.885,1336.012,-1.0
49,fermat,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,risc-instruction-removal-subrv,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,subset-cardinality,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,waerden,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,hardware-model-checking,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,hypertree-decomposition,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,binary-tree-parity,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,coloring,8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,cryptography-simon,10,0.219,0.202,0.201,0.292,0.228,0.226
6,heule-folkman,11,0.486,0.43,0.467,0.519,0.427,0.465
7,subgraph-isomorphism,4,1.219,1.578,1.601,2.012,1.891,1.636
63,puzzle,1,1.581,1.58,1.787,1.837,1.908,1.734
19,miter,47,1.738,1.755,1.823,1.944,1.998,1.849
15,st-connectivity-principle,2,2.651,2.027,2.504,2.74,2.68,2.506
29,random-circuits,15,3.176,3.201,3.142,3.439,2.996,3.188
11,automata-synchronization,1,2.694,3.297,3.425,3.326,3.4,3.216
1,planning,6,2.573,3.069,2.182,4.431,4.779,3.254
45,clique-formulas,1,3.452,3.743,3.75,3.54,3.767,3.648
18,graph-isomorphism,1,3.292,3.727,3.558,3.642,4.085,3.652
3,software-verification,15,2.253,3.525,4.873,4.831,4.355,3.821
17,random-modularity,1,2.233,2.41,4.763,4.568,6.982,3.824
22,cellular-automata,2,3.082,3.713,4.152,4.032,4.494,3.864
9,bitvector,4,3.103,3.621,4.209,4.318,4.256,3.871
5,stedman-triples,2,2.1,2.508,3.812,7.499,8.59,4.191
12,erdos-discrepancy,1,2.216,5.008,4.424,6.39,7.165,4.681
39,tseitin-formulas,8,4.768,4.857,5.087,5.356,5.416,5.09
30,hardware-verification,5,4.608,5.503,5.616,5.816,5.726,5.435
0,summle,3,2.857,6.792,4.843,6.344,8.389,5.493
33,equivalence-chain-principle,4,4.899,5.982,6.331,6.466,7.245,6.135
42,or_randxor,1,5.818,5.787,7.144,7.039,7.28,6.579
43,mutilated-chessboard,3,7.906,4.72,7.156,7.134,7.757,6.822
62,scheduling,50,4.964,7.243,7.922,8.446,9.259,7.405
10,rooks,3,7.324,8.081,9.091,6.64,7.402,7.664
24,heule-nol,11,5.896,7.09,6.036,9.561,12.123,7.82
50,quasigroup-completion,2,5.18,6.207,6.729,16.834,13.872,8.724
21,grs-fp-comm,2,7.171,8.423,9.126,9.716,10.254,8.87
16,cryptography-ascon,6,7.502,9.013,9.829,10.895,12.363,9.781
53,popularity-similarity,1,10.449,10.079,9.65,10.861,10.935,10.383
54,quantum-kochen-specker,10,9.283,10.743,10.469,10.917,10.954,10.454
37,maxsat-optimum,13,7.797,11.306,11.407,13.962,15.845,11.734
40,reg-n,4,0.545,27.772,28.21,26.609,27.9,12.595
60,argumentation,21,12.448,16.472,17.132,19.12,20.399,16.879
51,ramsey,1,12.11,19.653,17.338,18.754,19.133,17.143
61,hamiltonian,40,9.402,15.061,18.36,21.842,30.853,17.73
20,cryptography,7,6.98,15.289,19.646,26.816,31.87,17.81
58,independent-set,15,17.084,19.857,21.196,23.342,24.077,20.956
46,pythagorean-triples,1,9.899,20.955,19.668,23.807,55.926,22.233
38,polynomial-multiplication,4,21.641,34.111,22.052,26.627,30.362,26.537
56,minimum-disagreement-parity,17,32.697,31.982,29.057,37.168,49.981,35.508
57,battleship,1,10.065,55.764,19.901,195.628,96.745,46.241
64,unknown,1,24.193,53.217,40.007,71.647,70.288,48.172
48,crafted-cec,1,22.625,21.583,128.892,29.699,197.845,51.713
4,circuit-multiplier,1,51.034,25.529,68.564,78.517,62.533,53.507
8,random-csp,2,19.592,76.009,32.096,93.696,106.327,54.394
27,rbsat,5,49.344,43.944,57.652,191.928,126.86,78.828
35,influence-maximization,1,42.347,200.995,49.984,164.3,164.761,102.865
47,tree-decomposition,1,542.903,21.518,85.753,383.915,388.399,171.734
