	name	Serial_result	Serial_memory	Serial_runtime
0	mchess_15.cnf	-1	0.03253173828125	510.1
1	ctl_4291_567_9_unsat.cnf	-1	0.0416259765625	884.4
2	af-synthesis_stb_50_140_1_unsat.cnf	-1	0.06195831298828125	2276.84
3	apn-sbox5-cut3-symmbreak.cnf	0	0.09715652465820312	2999.42
4	x9-12035.sat.sanitized.cnf	1	0.03592681884765625	420.57
5	tseitin_grid_n11_m20.sanitized.cnf	0	0.046905517578125	3000.04
6	pcmax-scheduling-m13-1655-9604-UNSAT.sanitized.cnf	-1	0.0606536865234375	711.01
7	x9-10083.sat.sanitized.cnf	-1	0.01865386962890625	166.61
8	32_200.sanitized.cnf	0	1.917938232421875	7.13
9	WS_500_16_90_70.apx_2_DC-AD.cnf	-1	0.035915374755859375	481.75
10	x9-10007.sat.sanitized.cnf	-1	0.0365753173828125	233.01
11	sted5_0x1e3-20.cnf	0	0.061611175537109375	3000.03
12	rphp_p8_r170.sanitized.cnf	0	1.1723403930664062	3000.04
13	mdp-36-14-sat.cnf	0	0.058231353759765625	3000.09
14	Break_20_72.xml.cnf	0	0.2025909423828125	3000.05
15	170058440.cnf	1	0.0741729736328125	1614.42
16	x9-12063.sat.sanitized.cnf	1	0.033416748046875	473.06
17	x9-11077.sat.sanitized.cnf	1	0.01988983154296875	79.38
18	circuit_32in32out_with_100gates_7in7out_dist64_seed2.sanitized.cnf	1	0.3197059631347656	122.43
19	x9-10002.sat.sanitized.cnf	-1	0.03424072265625	320.99
20	lec_mult_DvK_11x10.sanitized.cnf	-1	0.032749176025390625	840.2
21	circuit_48in64out_with_700gates_4in4out_dist128_seed1.sanitized.cnf	1	0.032382965087890625	7.0
22	lec_mult_CvK_11x11.sanitized.cnf	-1	0.059452056884765625	2547.8
23	mp1-Nb5T15.cnf	1	0.04705810546875	217.13
24	ctl_4201_555_unsat_pre.cnf	-1	0.037235260009765625	1634.35
25	simon-r22-1.sanitized.cnf	1	0.00312042236328125	0.01
26	x9-10098.sat.sanitized.cnf	1	0.00975799560546875	36.04
27	worker_550_550_550_0.3.cnf	1	0.27716827392578125	26.75
28	j3045_4_mdd_bm1.cnf	-1	0.024990081787109375	696.06
29	x9-09004.sat.sanitized.cnf	-1	0.01012420654296875	56.43
30	FmlaImplyChain_3_7_7.sanitized.cnf	-1	0.06570053100585938	1060.54
31	frb45-21-2.used-as.sat04-884.cnf	1	0.038112640380859375	523.3
32	lru_9.sanitized.cnf	0	2.1466903686523438	7.11
33	j3037_9_rggt_b.cnf	1	0.0392913818359375	480.25
34	64_200.sanitized.cnf	0	1.9575157165527344	7.12
35	circuit_32in32out_with_70gates_7in7out_dist128_seed1.sanitized.cnf	1	0.21448898315429688	270.38
36	x9-09054.sat.sanitized.cnf	1	0.009296417236328125	39.84
37	bphp_p23_h22.sanitized.cnf	0	0.09198379516601562	3000.08
38	hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf	-1	0.5329360961914062	8.06
39	pcmax-scheduling-m11-1517-6802-UNSAT.sanitized.cnf	-1	0.01955413818359375	60.58
40	DLTM_twitter774_83_17.cnf	1	0.04120635986328125	1546.93
41	mdp-28-14-sat.cnf	1	0.039752960205078125	616.89
42	asconhashv12_opt64_H11_M2-tBi5i1RIgRz_m0_1_U23.c.cnf	-1	0.08834075927734375	665.75
